slide_name,permissible_angle,slide_height_um,slide_width_um,scanner_name,actual_angle,date,time_stamp,slide_id,load_identifier,offset_pos_x_um,offset_pos_y_um,row_index,col_index,slide_height_mm,row_col
H01CBA06P_97850,5.637693653,73612,25448.5,H01CBA06P,0.239731995,14/04/2021,2021-04-14T00:02:40,97850,CS002-3-1618319899021,468.75,1531.25,3,20,73.612,"3,20"
H01CBA06P_97855,8.127866368,74305,24755.5,H01CBA06P,0.272118182,14/04/2021,2021-04-14T00:32:29,97855,CS002-3-1618319899021,581.25,1493.75,3,25,74.305,"3,25"
H01CBA06P_97853,8.089867407,74767,24871,H01CBA06P,0.503640535,14/04/2021,2021-04-14T00:19:39,97853,CS002-3-1618319899021,737.5,1762.5,3,23,74.767,"3,23"
H01CBA06P_97854,5.663481272,74266.5,25333,H01CBA06P,0.567294215,14/04/2021,2021-04-14T00:25:30,97854,CS002-3-1618319899021,81.25,1493.75,3,24,74.2665,"3,24"
H01CBA06P_97851,5.6808047,73997,25256,H01CBA06P,0.298261522,14/04/2021,2021-04-14T00:08:48,97851,CS002-3-1618319899021,618.75,1762.5,3,21,73.997,"3,21"
H01CBA06P_97852,8.052223279,75537,24986.5,H01CBA06P,1.090571942,14/04/2021,2021-04-14T00:14:02,97852,CS002-3-1618319899021,237.5,1800,3,22,75.537,"3,22"
H01CBA05P_98473,4.546105638,76635,25233,H01CBA05P,-0.029307305,14/04/2021,2021-04-14T08:36:55,98473,CS002-2-1618384713288,1593.75,2175,0,2,76.635,"0,2"
H01CBA02P_98504,7.482988082,75416.7,24955.5,H01CBA02P,-0.598400221,14/04/2021,2021-04-14T08:37:14,98504,CS002-1-1618384713290,-793.75,1343.75,0,5,75.4167,"0,5"
H01CBA06P_98501,5.520396648,74805.5,25987.5,H01CBA06P,0.62086425,14/04/2021,2021-04-14T08:37:44,98501,CS002-3-1618384713294,425,681.25,0,1,74.8055,"0,1"
H01CBA06P_98503,5.706989797,76422.5,25140.5,H01CBA06P,0.14631216,14/04/2021,2021-04-14T08:38:28,98503,CS002-3-1618384713294,1431.25,762.5,0,2,76.4225,"0,2"
H01CBA06P_98506,5.724581277,76268.5,25063.5,H01CBA06P,0,14/04/2021,2021-04-14T08:43:07,98506,CS002-3-1618384713294,693.75,487.5,0,3,76.2685,"0,3"
H01CBA02P_98507,5.014479528,75888.3,25741.5,H01CBA02P,-0.418003142,14/04/2021,2021-04-14T08:43:55,98507,CS002-1-1618384713290,-750,1343.75,0,6,75.8883,"0,6"
H01CBA02P_98511,7.542720963,74827.2,24759,H01CBA02P,-0.181316061,14/04/2021,2021-04-14T08:47:08,98511,CS002-1-1618384713290,-906.25,1068.75,0,7,74.8272,"0,7"
H01CBA06P_98510,5.64626335,76538,25410,H01CBA06P,-0.55741781,14/04/2021,2021-04-14T08:47:46,98510,CS002-3-1618384713294,387.5,762.5,0,4,76.538,"0,4"
H01CBA02P_98514,5.053152382,75613.2,25545,H01CBA02P,-0.059838945,14/04/2021,2021-04-14T08:51:59,98514,CS002-1-1618384713290,-868.75,1262.5,0,8,75.6132,"0,8"
H01CBA06P_98515,8.064732204,73727.5,24948,H01CBA06P,-0.928028647,14/04/2021,2021-04-14T08:54:23,98515,CS002-3-1618384713294,6.25,450,0,5,73.7275,"0,5"
H01CBA02P_98517,5.060958739,75180.9,25505.7,H01CBA02P,-0.549169235,14/04/2021,2021-04-14T08:55:01,98517,CS002-1-1618384713290,-987.5,1381.25,0,9,75.1809,"0,9"
H01CBA02P_98521,5.076644129,75966.9,25427.1,H01CBA02P,-0.653465255,14/04/2021,2021-04-14T08:59:03,98521,CS002-1-1618384713290,-1300,1187.5,0,10,75.9669,"0,10"
H01CBA06P_98518,5.629149971,76422.5,25487,H01CBA06P,-0.146987795,14/04/2021,2021-04-14T09:00:15,98518,CS002-3-1618384713294,737.5,681.25,0,6,76.4225,"0,6"
H01CBA02P_98524,5.08452339,76006.2,25387.8,H01CBA02P,0.127607632,14/04/2021,2021-04-14T09:00:53,98524,CS002-1-1618384713290,-831.25,1187.5,0,11,76.0062,"0,11"
H01CBA02P_98486,5.060958739,75456,25505.7,H01CBA02P,-0.059683114,14/04/2021,2021-04-14T07:19:11,98486,CS002-1-1618384713290,2862.5,1418.75,0,0,75.456,"0,0"
H01CBA05P_98469,4.525079776,76752,25350,H01CBA05P,-0.416916836,14/04/2021,2021-04-14T07:19:29,98469,CS002-2-1618384713288,1593.75,2018.75,0,0,76.752,"0,0"
H01CBA02P_98489,5.08452339,75573.9,25387.8,H01CBA02P,0,14/04/2021,2021-04-14T07:20:05,98489,CS002-1-1618384713290,150,1381.25,0,1,75.5739,"0,1"
H01CBA06P_98497,5.603673843,76615,25602.5,H01CBA06P,0.259649436,14/04/2021,2021-04-14T07:20:23,98497,CS002-3-1618384713294,1118.75,800,0,0,76.615,"0,0"
H01CBA05P_98471,4.553157793,75309,25194,H01CBA05P,-0.801988887,14/04/2021,2021-04-14T07:21:01,98471,CS002-2-1618384713288,618.75,2056.25,0,1,75.309,"0,1"
H01CBA02P_98492,5.092427179,75180.9,25348.5,H01CBA02P,-0.09004055,14/04/2021,2021-04-14T07:21:37,98492,CS002-1-1618384713290,-475,1306.25,0,2,75.1809,"0,2"
H01CBA06P_98100,5.663481272,76422.5,25333,H01CBA06P,0.260173455,14/04/2021,2021-04-14T06:36:40,98100,CS002-3-1618381224072,693.75,606.25,0,0,76.4225,"0,0"
H01CBA06P_98101,5.733417816,74613,25025,H01CBA06P,-0.088738982,14/04/2021,2021-04-14T06:37:41,98101,CS002-3-1618381224072,812.5,531.25,0,1,74.613,"0,1"
H01CBA06P_98102,5.698234607,74574.5,25179,H01CBA06P,-0.236882451,14/04/2021,2021-04-14T06:40:04,98102,CS002-3-1618381224072,693.75,643.75,0,2,74.5745,"0,2"
H01CBA06P_98103,5.64626335,76422.5,25410,H01CBA06P,-0.029518692,14/04/2021,2021-04-14T06:41:05,98103,CS002-3-1618381224072,1468.75,718.75,0,3,76.4225,"0,3"
H01CBA02P_98527,5.068789283,76438.5,25466.4,H01CBA02P,0.058915979,14/04/2021,2021-04-14T09:06:01,98527,CS002-1-1618384713290,-987.5,1306.25,0,12,76.4385,"0,12"
H01CBA06P_98522,5.654859184,76345.5,25371.5,H01CBA06P,-0.382759853,14/04/2021,2021-04-14T09:08:18,98522,CS002-3-1618384713294,350,718.75,0,7,76.3455,"0,7"
H01CBA02P_98531,5.037611787,75809.7,25623.6,H01CBA02P,-0.089199485,14/04/2021,2021-04-14T09:09:38,98531,CS002-1-1618384713290,-1262.5,1262.5,0,13,75.8097,"0,13"
H01CBA02P_98534,5.08452339,76084.8,25387.8,H01CBA02P,0,14/04/2021,2021-04-14T09:13:12,98534,CS002-1-1618384713290,-1106.25,1187.5,0,14,76.0848,"0,14"
