aoi_id,aoi_name,aoi_row_idx,aoi_col_idx,grid_id
0,aoi0001,0,0,1
1,aoi0002,0,1,1
2,aoi0003,0,2,1
3,aoi0004,0,3,1
4,aoi0005,0,4,1
5,aoi0006,0,5,1
6,aoi0007,0,6,1
7,aoi0008,0,7,1
8,aoi0009,0,8,1
9,aoi0010,0,9,1
10,aoi0011,0,10,1
11,aoi0012,0,11,1
12,aoi0013,0,12,1
13,aoi0014,0,13,1
14,aoi0015,0,14,1
15,aoi0016,1,14,1
16,aoi0017,1,13,1
17,aoi0018,1,12,1
18,aoi0019,1,11,1
19,aoi0020,1,10,1
20,aoi0021,1,9,1
21,aoi0022,1,8,1
22,aoi0023,1,7,1
23,aoi0024,1,6,1
24,aoi0025,1,5,1
25,aoi0026,1,4,1
26,aoi0027,1,3,1
27,aoi0028,1,2,1
28,aoi0029,1,1,1
29,aoi0030,1,0,1
30,aoi0031,2,0,1
31,aoi0032,2,1,1
32,aoi0033,2,2,1
33,aoi0034,2,3,1
34,aoi0035,2,4,1
35,aoi0036,2,5,1
36,aoi0037,2,6,1
37,aoi0038,2,7,1
38,aoi0039,2,8,1
39,aoi0040,2,9,1
40,aoi0041,2,10,1
41,aoi0042,2,11,1
42,aoi0043,2,12,1
43,aoi0044,2,13,1
44,aoi0045,2,14,1
45,aoi0046,3,14,1
46,aoi0047,3,13,1
47,aoi0048,3,12,1
48,aoi0049,3,11,1
49,aoi0050,3,10,1
50,aoi0051,3,9,1
51,aoi0052,3,8,1
52,aoi0053,3,7,1
53,aoi0054,3,6,1
54,aoi0055,3,5,1
55,aoi0056,3,4,1
56,aoi0057,3,3,1
57,aoi0058,3,2,1
58,aoi0059,3,1,1
59,aoi0060,3,0,1
60,aoi0061,4,0,1
61,aoi0062,4,1,1
62,aoi0063,4,2,1
63,aoi0064,4,3,1
64,aoi0065,4,4,1
65,aoi0066,4,5,1
66,aoi0067,4,6,1
67,aoi0068,4,7,1
68,aoi0069,4,8,1
69,aoi0070,4,9,1
70,aoi0071,4,10,1
71,aoi0072,4,11,1
72,aoi0073,4,12,1
73,aoi0074,4,13,1
74,aoi0075,4,14,1
75,aoi0076,5,14,1
76,aoi0077,5,13,1
77,aoi0078,5,12,1
78,aoi0079,5,11,1
79,aoi0080,5,10,1
80,aoi0081,5,9,1
81,aoi0082,5,8,1
82,aoi0083,5,7,1
83,aoi0084,5,6,1
84,aoi0085,5,5,1
85,aoi0086,5,4,1
86,aoi0087,5,3,1
87,aoi0088,5,2,1
88,aoi0089,5,1,1
89,aoi0090,5,0,1
90,aoi0091,6,0,1
91,aoi0092,6,1,1
92,aoi0093,6,2,1
93,aoi0094,6,3,1
94,aoi0095,6,4,1
95,aoi0096,6,5,1
96,aoi0097,6,6,1
97,aoi0098,6,7,1
98,aoi0099,6,8,1
99,aoi0100,6,9,1
100,aoi0101,6,10,1
101,aoi0102,6,11,1
102,aoi0103,6,12,1
103,aoi0104,6,13,1
104,aoi0105,6,14,1
105,aoi0106,7,14,1
106,aoi0107,7,13,1
107,aoi0108,7,12,1
108,aoi0109,7,11,1
109,aoi0110,7,10,1
110,aoi0111,7,9,1
111,aoi0112,7,8,1
112,aoi0113,7,7,1
113,aoi0114,7,6,1
114,aoi0115,7,5,1
115,aoi0116,7,4,1
116,aoi0117,7,3,1
117,aoi0118,7,2,1
