slide_name,blob_index,x_position,y_position,stack_size,reference_z,best_z,z_difference,best_index,focus_metric,color_metric,process_time,capture_status,index,type,id,score,slide_top_edge_px,slide_bottom_edge_px,slide_height_um,slide_found,slide_top_width_um,slide_bottom_width_um,slide_left_bottom_side_px,slide_left_top_side_px,slide_right_bottom_side_px,slide_right_top_side_px,slide_placed,slide_bottom_width_dimension_status,slide_top_width_dimension_status,distance_change_px,left_corner_difference_px,right_corner_difference_px,slope_px,angle_degrees,y_offset_px,x_offset_px,_source.data.x_offset_um,_source.data.y_offset_um,placement_status,x_dimen_status,y_dimen_status,height_status,slide_thickness,raw_slide_thickness,cluster_name,scanner_name,u_id,load_identifier,row_index,col_index,time_stamp,slide_id,row,column,loaded_date,_source.data.initial_box_0_0_px,_source.data.initial_box_0_1_px,_source.data.initial_box_1_0_px,_source.data.initial_box_1_1_px,_source.data.initial_box_2_0_px,_source.data.initial_box_2_1_px,_source.data.initial_box_3_0_px,_source.data.initial_box_3_1_px,_source.data.rect_start_x_px,_source.data.rect_start_y_px,_source.data.rect_start_width_px,_source.data.rect_start_height_px,_source.data.rect_angle,_source.data.bottom_edge_px,_source.data.bottom_right_side_edge_px,_source.data.final_box_0_0_px,_source.data.final_box_0_1_px,_source.data.final_box_1_0_px,_source.data.final_box_1_1_px,_source.data.final_box_2_0_px,_source.data.final_box_2_1_px,_source.data.final_box_3_0_px,_source.data.final_box_3_1_px,_source.data.hyp_pyth_theorem,_source.data.opp_pyth_theorem,_source.data.adj_pyth_theorem,permissible_angle,actual_angle,_source.data.expected_del_pos_x,_source.data.expected_del_pos_y,_source.data.zoomed_in_del_pos_x,_source.data.zoomed_in_del_pos_y,_source.data.zoom_in_out_ratio,_source.data.zoom_slope,_source.data.slide_pos_x,_source.data.slide_pos_y,_source.data.offset_pos_x_px,_source.data.offset_pos_y_px,offset_pos_x_um,offset_pos_y_um,_source.data.slide_height_px,_source.data.slide_width_px,slide_width_um,_source.data.y_stage_img_pos_status,_source.data.x_stage_img_pos_status,_source.data.error_x_pos,_source.data.error_y_pos,_source.data.slide_presence_probability,date,_merge
H01CBA02P_99099,0,12043.75,13912.5,37,6600,6603.75,-3.75,20,30.17905714,26.59076734,3.876981258,1,slide_placement,_doc,VRhR0XgBY1V5ZLgk7YLm,1,133,2072,76202.7,TRUE,25505.7,25584.3,800,145,799,794,TRUE,TRUE,TRUE,-5,-655,-5,,,,,,,TRUE,TRUE,FALSE,TRUE,1.1,24,CS002,H01CBA02P,,CS002-1-1618411711877,1,0,2021-04-14T16:58:30,99099,,,,,,,,,,,,,,,,,,,145,133,794,136,800,2072,149,2072,25.5057,2.25,-0.2358,5.060958739,-0.177569849,752,193,771,175,0.946987952,18.86363636,800,133,-29.20865279,41.08817087,-1143.75,1618.75,1939,649,25505.7,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99099,1,19075,8031.25,37,6380,6380,0,18,21.4135434,8.971446909,5.502519846,1,slide_placement,_doc,VRhR0XgBY1V5ZLgk7YLm,1,133,2072,76202.7,TRUE,25505.7,25584.3,800,145,799,794,TRUE,TRUE,TRUE,-5,-655,-5,,,,,,,TRUE,TRUE,FALSE,TRUE,1.1,24,CS002,H01CBA02P,,CS002-1-1618411711877,1,0,2021-04-14T16:58:30,99099,,,,,,,,,,,,,,,,,,,145,133,794,136,800,2072,149,2072,25.5057,2.25,-0.2358,5.060958739,-0.177569849,752,193,771,175,0.946987952,18.86363636,800,133,-29.20865279,41.08817087,-1143.75,1618.75,1939,649,25505.7,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99099,2,15206.25,27437.5,37,6540,6541.875,-1.875,19,45.46220684,28.81056246,5.302495003,1,slide_placement,_doc,VRhR0XgBY1V5ZLgk7YLm,1,133,2072,76202.7,TRUE,25505.7,25584.3,800,145,799,794,TRUE,TRUE,TRUE,-5,-655,-5,,,,,,,TRUE,TRUE,FALSE,TRUE,1.1,24,CS002,H01CBA02P,,CS002-1-1618411711877,1,0,2021-04-14T16:58:30,99099,,,,,,,,,,,,,,,,,,,145,133,794,136,800,2072,149,2072,25.5057,2.25,-0.2358,5.060958739,-0.177569849,752,193,771,175,0.946987952,18.86363636,800,133,-29.20865279,41.08817087,-1143.75,1618.75,1939,649,25505.7,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA02P_99099,3,13768.75,38825,69,6541.875,6485.625,56.25,4,41.59100227,39.98342289,2.577383995,1,slide_placement,_doc,VRhR0XgBY1V5ZLgk7YLm,1,133,2072,76202.7,TRUE,25505.7,25584.3,800,145,799,794,TRUE,TRUE,TRUE,-5,-655,-5,,,,,,,TRUE,TRUE,FALSE,TRUE,1.1,24,CS002,H01CBA02P,,CS002-1-1618411711877,1,0,2021-04-14T16:58:30,99099,,,,,,,,,,,,,,,,,,,145,133,794,136,800,2072,149,2072,25.5057,2.25,-0.2358,5.060958739,-0.177569849,752,193,771,175,0.946987952,18.86363636,800,133,-29.20865279,41.08817087,-1143.75,1618.75,1939,649,25505.7,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99090,0,12562.5,39381.25,25,6470,6468.125,1.875,11,40.13570919,19.25629371,3.575059175,1,slide_placement,_doc,bxhS0XgBY1V5ZLgkfIW1,1,105,2068,76557,TRUE,25584,26364,757,100,772,756,TRUE,TRUE,TRUE,-16,-657,-16,,,,,,,TRUE,TRUE,FALSE,TRUE,1.05,23,CS002,H01CBA05P,,CS002-2-1618411711879,0,29,2021-04-14T16:59:07,99090,,,,,,,,,,,,,,,,,,,100,105,756,101,773,2039,81,2068,25.584,2.4,-0.663,5.382753135,-0.502601003,766,172,791,147,0.939759036,24.9,773,101,17.44216867,45.66626506,681.25,1781.25,1963,656,25584,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99090,1,10418.75,37087.5,25,6470,6470,0,12,9.454086481,7.893291787,5.503198862,1,slide_placement,_doc,bxhS0XgBY1V5ZLgkfIW1,1,105,2068,76557,TRUE,25584,26364,757,100,772,756,TRUE,TRUE,TRUE,-16,-657,-16,,,,,,,TRUE,TRUE,FALSE,TRUE,1.05,23,CS002,H01CBA05P,,CS002-2-1618411711879,0,29,2021-04-14T16:59:07,99090,,,,,,,,,,,,,,,,,,,100,105,756,101,773,2039,81,2068,25.584,2.4,-0.663,5.382753135,-0.502601003,766,172,791,147,0.939759036,24.9,773,101,17.44216867,45.66626506,681.25,1781.25,1963,656,25584,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99090,2,12562.5,24462.5,25,6430,6431.875,-1.875,13,38.00778264,17.03795767,2.415858746,1,slide_placement,_doc,bxhS0XgBY1V5ZLgkfIW1,1,105,2068,76557,TRUE,25584,26364,757,100,772,756,TRUE,TRUE,TRUE,-16,-657,-16,,,,,,,TRUE,TRUE,FALSE,TRUE,1.05,23,CS002,H01CBA05P,,CS002-2-1618411711879,0,29,2021-04-14T16:59:07,99090,,,,,,,,,,,,,,,,,,,100,105,756,101,773,2039,81,2068,25.584,2.4,-0.663,5.382753135,-0.502601003,766,172,791,147,0.939759036,24.9,773,101,17.44216867,45.66626506,681.25,1781.25,1963,656,25584,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99090,3,23350,35131.25,47,6468.125,6453.125,15,15,7.721469866,9.713778172,3.235399485,1,slide_placement,_doc,bxhS0XgBY1V5ZLgkfIW1,1,105,2068,76557,TRUE,25584,26364,757,100,772,756,TRUE,TRUE,TRUE,-16,-657,-16,,,,,,,TRUE,TRUE,FALSE,TRUE,1.05,23,CS002,H01CBA05P,,CS002-2-1618411711879,0,29,2021-04-14T16:59:07,99090,,,,,,,,,,,,,,,,,,,100,105,756,101,773,2039,81,2068,25.584,2.4,-0.663,5.382753135,-0.502601003,766,172,791,147,0.939759036,24.9,773,101,17.44216867,45.66626506,681.25,1781.25,1963,656,25584,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99093,0,18737.5,8043.75,25,6490,6488.125,1.875,11,40.09319665,22.54564632,3.691514969,1,slide_placement,_doc,oxhW0XgBY1V5ZLgkEMCd,1,90,2021,75309,TRUE,25233,25701,747,88,748,735,TRUE,TRUE,TRUE,-13,-659,-13,,,,,,,TRUE,TRUE,FALSE,TRUE,1.25,27,CS002,H01CBA05P,,CS002-2-1618411711879,1,0,2021-04-14T17:03:01,99093,,,,,,,,,,,,,,,,,,,88,100,735,90,749,2012,88,2021,25.233,2.4,-0.546,5.45785487,-0.41735068,766,172,791,147,0.939759036,24.9,749,90,41.44216867,56.66626506,1618.75,2212.5,1931,647,25233,FALSE,FALSE,,,FALSE,14/04/2021,both
H01CBA05P_99093,1,12025,20087.5,25,6478.125,6483.75,-5.625,15,10.70738629,12.71349258,2.377537966,1,slide_placement,_doc,oxhW0XgBY1V5ZLgkEMCd,1,90,2021,75309,TRUE,25233,25701,747,88,748,735,TRUE,TRUE,TRUE,-13,-659,-13,,,,,,,TRUE,TRUE,FALSE,TRUE,1.25,27,CS002,H01CBA05P,,CS002-2-1618411711879,1,0,2021-04-14T17:03:01,99093,,,,,,,,,,,,,,,,,,,88,100,735,90,749,2012,88,2021,25.233,2.4,-0.546,5.45785487,-0.41735068,766,172,791,147,0.939759036,24.9,749,90,41.44216867,56.66626506,1618.75,2212.5,1931,647,25233,FALSE,FALSE,,,FALSE,14/04/2021,both
